OBJECTID,GeoID,Co_Name,GeoID2,Navajo,Other_NA,Spanish,English,Very_Well,Less_Than_Well,Total
1,G35011,De Baca,35011,0,0,31.46,68.54,0,0,0
2,G08109,Saguache,8109,0.09,0.21,29.76,66.33,100,0,17
3,G49033,Rich,49033,0,0,3.55,95.83,0,0,0
4,G35035,Otero,35035,0.07,1.68,21.48,72.36,78.98,21.02,1061
5,G35003,Catron,35003,0.03,0.54,23.2,75.37,100,0,20
6,G08115,Sedgwick,8115,0,0,8.14,90.87,0,0,0
7,G08017,Cheyenne,8017,0,0,7.2,91.34,0,0,0
8,G49005,Cache,49005,0.1,0.02,8.9,87.19,92.19,7.81,128
9,G08027,Custer,8027,0,1.34,3.31,92.5,100,0,56
10,G08067,La Plata,8067,0.8,0.76,6.88,89.67,91.35,8.65,786
11,G35059,Union,35059,0.65,0,25.74,71.76,48.15,51.85,27
12,G08111,San Juan,8111,0,0,6.87,93.13,0,0,0
13,G49013,Duchesne,49013,0.28,2.3,5,90.83,91.72,8.28,459
14,G08097,Pitkin,8097,0,0,8.64,84.82,0,0,0
15,G08093,Park,8093,0,0,2.12,95.18,0,0,0
16,G04027,Yuma,4027,0.14,0.13,49.93,47.94,85.29,14.71,503
17,G04021,Pinal,4021,0.21,0.63,17.31,78.99,93.09,6.91,3067
18,G08003,Alamosa,8003,0.03,0,21.19,77.37,100,0,5
19,G08099,Prowers,8099,0,0,22.41,76.06,0,0,0
20,G35047,San Miguel,35047,0.22,0.19,54.24,42.88,93.69,6.31,111
21,G08081,Moffat,8081,0.58,0.02,8.65,89.01,87.84,12.16,74
22,G08059,Jefferson,8059,0.03,0.02,6.07,89.55,85.04,14.96,234
23,G08117,Summit,8117,0,0,12.16,85.01,0,0,0
24,G04017,Navajo,4017,20.32,9.73,5.78,62.87,74.54,25.46,29950
25,G08101,Pueblo,8101,0.02,0.03,13.22,85.01,84.42,15.58,77
26,G49011,Davis,49011,0.03,0,6.01,90.69,100,0,96
27,G08013,Boulder,8013,0.01,0,9.38,83.68,65,35,20
28,G08031,Denver,8031,0.03,0.03,20.76,72.58,65.39,34.61,393
29,G08085,Montrose,8085,0.02,0,14.7,84.36,100,0,8
30,G08037,Eagle,8037,0.16,0.02,25.13,70.34,86.67,13.33,90
31,G08113,San Miguel,8113,0.1,0,8.1,89.97,100,0,7
32,G49003,Box Elder,49003,0.05,0.01,5.71,93.08,62.96,37.04,27
33,G08023,Costilla,8023,0,0.29,45.39,52.67,100,0,10
34,G08014,Broomfield,8014,0,0,5.88,86.68,0,0,0
35,G08015,Chaffee,8015,0,0.1,3.85,94.75,0,100,18
36,G08025,Crowley,8025,0,0,10.25,88.68,0,0,0
37,G08043,Fremont,8043,0.18,0.49,7.12,90.44,83,17,300
38,G35055,Taos,35055,0.26,2.86,35.2,58.3,95.39,4.61,976
39,G35017,Grant,35017,0.2,0.02,26.77,71.96,73.77,26.23,61
40,G35007,Colfax,35007,0.11,0.06,19.1,78.77,100,0,22
41,G08055,Huerfano,8055,0,0,10.29,88.21,0,0,0
42,G49027,Millard,49027,0.07,0.12,11.77,86.82,100,0,22
43,G49029,Morgan,49029,0,0,1.68,96.17,0,0,0
44,G04011,Greenlee,4011,0.15,0,20.19,77.74,92.31,7.69,13
45,G04013,Maricopa,4013,0.24,0.1,20.43,73.52,86.8,13.2,12945
46,G35043,Sandoval,35043,1.94,7.14,16.84,71.69,79.94,20.06,11658
47,G04019,Pima,4019,0.16,0.4,23.65,71.36,87.16,12.84,5185
48,G35006,Cibola,35006,8.44,13.59,19.18,57.66,87.4,12.6,5612
49,G08029,Delta,8029,0,0.02,8.02,90.59,0,100,6
50,G49057,Weber,49057,0.14,0.04,11.37,86.41,69.54,30.46,394
51,G08045,Garfield,8045,0,0,23.07,75.45,0,0,0
52,G08103,Rio Blanco,8103,0,0,7.62,91.5,0,0,0
53,G08087,Morgan,8087,0,0.12,24.02,73.3,100,0,32
54,G35013,Doña Ana,35013,0.17,0.1,49.19,48.87,81.73,18.27,520
55,G08073,Lincoln,8073,0,0,10.42,88.28,0,0,0
56,G35021,Harding,35021,0,0,31.02,68.98,0,0,0
57,G04003,Cochise,4003,0.09,0.05,24.76,71.48,93.41,6.59,167
58,G35023,Hidalgo,35023,0,0,39.76,59.78,0,0,0
59,G08083,Montezuma,8083,3.77,1.37,5.01,88.03,92.39,7.61,1236
60,G49025,Kane,49025,0,0,2.1,96.32,0,0,0
61,G08001,Adams,8001,0.04,0.01,23.05,71.54,90.41,9.59,219
62,G35053,Socorro,35053,8.67,0.14,31.71,57.46,30.29,69.71,1469
63,G35028,Los Alamos,35028,0.04,0,8.14,82.09,85.71,14.29,7
64,G35033,Mora,35033,0,0.05,64.6,34.6,100,0,2
65,G08079,Mineral,8079,0,0,1.52,97.66,0,0,0
66,G35015,Eddy,35015,0.03,0.02,26.41,72.11,39.29,60.71,28
67,G04005,Coconino,4005,12.86,1.03,7.58,75.68,71.3,28.7,17828
68,G08089,Otero,8089,0,0,14.54,83.74,0,0,0
69,G49035,Salt Lake,49035,0.09,0.03,13.05,79.77,89.94,10.06,1252
70,G49041,Sevier,49041,0.31,0.04,3.67,95.18,83.58,16.42,67
71,G49017,Garfield,49017,0.34,0,4.35,92.55,87.5,12.5,16
72,G08095,Phillips,8095,0,0,15.38,84.28,0,0,0
73,G08091,Ouray,8091,0,0,5.28,91.59,0,0,0
74,G35009,Curry,35009,0.02,0.13,24.27,73.47,78.08,21.92,73
75,G49053,Washington,49053,0.13,0.03,6.93,90.85,93.58,6.42,218
76,G08011,Bent,8011,0,0,15.67,83.29,0,0,0
77,G08007,Archuleta,8007,0,0,10.36,86.78,0,0,0
78,G35041,Roosevelt,35041,0.26,0.34,24.53,72.15,90.09,9.91,111
79,G08107,Routt,8107,0,0,3.88,93.56,0,0,0
80,G08053,Hinsdale,8053,0,0,2.56,94.02,0,0,0
81,G49031,Piute,49031,0,0,5,94.44,0,0,0
82,G49043,Summit,49043,0.05,0,9.16,87.55,100,0,17
83,G04007,Gila,4007,0.31,5.56,8.48,84.16,79.53,20.47,2941
84,G04009,Graham,4009,0.49,4.03,14.77,79.6,81.14,18.86,1559
85,G08123,Weld,8123,0.01,0.04,16.31,81.47,100,0,123
86,G35045,San Juan,35045,20.7,0.49,10.61,67.09,86.53,13.47,24532
87,G49015,Emery,49015,0.02,0,5.05,93.72,100,0,2
88,G35027,Lincoln,35027,1.12,0.05,19.61,77.95,63.06,36.94,222
89,G08069,Larimer,8069,0.02,0.12,5.2,91.31,100,0,438
90,G08065,Lake,8065,0.03,0,21.7,73.84,100,0,2
91,G49009,Daggett,49009,0,0,2.6,96.31,0,0,0
92,G35019,Guadalupe,35019,0.67,0.46,51.15,47.48,59.18,40.82,49
93,G08105,Rio Grande,8105,0.34,0,21.32,76.06,100,0,37
94,G35057,Torrance,35057,0.18,0.15,23.91,75.24,100,0,50
95,G35029,Luna,35029,0.05,0.13,50.06,48.32,100,0,41
96,G49001,Beaver,49001,0.14,0,6.23,93.33,100,0,8
97,G35031,McKinley,35031,36.02,13.44,5.94,43.51,81.02,18.98,33463
98,G35039,Rio Arriba,35039,0.96,7.68,52,38.74,97.76,2.24,3211
99,G04015,Mohave,4015,0.06,0.24,8.68,88.9,87.07,12.93,588
100,G04025,Yavapai,4025,0.17,0.25,7.79,89.6,92.55,7.45,873
101,G08047,Gilpin,8047,0,0,3.76,95.12,0,0,0
102,G08125,Yuma,8125,0,0,16.32,82.86,0,0,0
103,G04012,La Paz,4012,0.28,0.24,18.18,80.6,83.17,16.83,101
104,G49047,Uintah,49047,0.09,4.64,4.91,88.87,95.8,4.2,1523
105,G49049,Utah,49049,0.03,0,9.63,86.77,100,0,159
106,G35025,Lea,35025,0.22,0.04,41.73,57.09,85.53,14.47,159
107,G08057,Jackson,8057,0,0,10.51,89.49,0,0,0
108,G08063,Kit Carson,8063,0,0,13.37,84.95,0,0,0
109,G49055,Wayne,49055,0.08,0,3.66,94.58,100,0,2
110,G08019,Clear Creek,8019,0,0.17,1.95,96.41,100,0,15
111,G08075,Logan,8075,0.04,0,8.26,89,100,0,8
112,G35005,Chaves,35005,0.2,0.09,35.55,62.7,96.59,3.41,176
113,G35049,Santa Fe,35049,0.23,0.86,30.91,65.05,90.81,9.19,1524
114,G04023,Santa Cruz,4023,0,0.02,75.7,23.24,80,20,10
115,G04001,Apache,4001,50.53,0.5,3.38,44.7,78.33,21.67,33913
116,G49023,Juab,49023,0.02,0.33,3.5,95.2,96.97,3.03,33
117,G08121,Washington,8121,0,0.11,5,93.68,100,0,5
118,G49007,Carbon,49007,0.08,0,4.74,93.94,100,0,15
119,G35037,Quay,35037,0,0,23.57,76,0,0,0
120,G35001,Bernalillo,35001,0.97,0.64,25.5,69.26,89.22,10.78,10120
121,G49021,Iron,49021,0.07,0.09,4.35,93.76,50,50,70
122,G49039,Sanpete,49039,0.17,0.03,7.76,90.31,100,0,52
123,G08035,Douglas,8035,0,0,3.75,90.92,0,0,0
124,G08021,Conejos,8021,0.07,0,31.3,67.18,100,0,5
125,G49037,San Juan,49037,35.62,0.83,3.46,58.56,80.14,19.86,5080
126,G08041,El Paso,8041,0.01,0.01,7.25,88.19,58.59,41.41,128
127,G08061,Kiowa,8061,0,0,1.18,96.82,0,0,0
128,G08119,Teller,8119,0,0,2.19,95.28,100,0,1
129,G49051,Wasatch,49051,0,0,11.21,86.71,0,0,0
130,G08051,Gunnison,8051,0,0,6.67,91.09,0,0,0
131,G08009,Baca,8009,0,0,5.57,93.18,0,0,0
132,G08039,Elbert,8039,0.03,0,3.34,95.17,100,0,6
133,G35051,Sierra,35051,0.01,0,20.1,79,100,0,1
134,G08077,Mesa,8077,0.02,0,5.6,93.13,100,0,32
135,G08033,Dolores,8033,0,0,2.12,97.31,0,0,0
136,G08005,Arapahoe,8005,0.02,0.04,12.04,77.74,88.52,11.48,357
137,G49019,Grand,49019,2.88,0,4.2,91.08,89.37,10.63,254
138,G49045,Tooele,49045,0.13,0.09,6.02,90.77,92.62,7.38,122
139,G35061,Valencia,35061,0.36,1.55,31.49,65.63,93.91,6.09,1364
140,G08071,Las Animas,8071,0.08,0,13.43,84.46,100,0,11
141,G08049,Grand,8049,0.15,0.01,3.07,91.23,100,0,23
