tour,id,title,type,order,location,lat,lng,zoom,venue,date,thumbnail,url,excerpt
career,tyler,Tyler Technologies,job,1,"Latham, NY",42.75685,-73.8228,,,Aug. 2016 – Present,,,"Increased communication between departments by building an internal tracking website that visualizes project status, assignments, and estimated completion dates."
career,landmark,Landmark Archaeology,job,3,"Altamont, NY",42.70011,-73.99513,,,June 2016–Aug. 2016,,,"Recommended a GNSS receiver upgrade that cut field data collection time by 50%, increasing the amount of data collected per day."
career,uwm,University of Wisconsin–Madison,school,2,"Madison, WI",43.073885,-89.4109526,,,Aug. 2017–Aug. 2018,,,"Master of Science, Cartography and GIS"
career,alpine,Alpine Archaeological Consultants,job,5,"Montrose, CO",38.47132,-107.87024,,,Nov. 2009–June 2016,,,"Built a Python tool that auto-generates a rough-draft archaeological site map from field data, boosting mapping efficiency by 30%."
career,western,Western Land Services,job,6,"Sheridan, WY",44.73995,-106.94674,,,Aug. 2005–Apr. 2009,,,Archaeological GIS Specialist
career,auditor,St. Joseph County Auditor's Office,job,7,"South Bend, IN",41.6754,-86.25309,,,May 2004–July 2005,,,GIS Coordinator
career,csu,Colorado State University,school,4,"Fort Collins, CO",40.5749824,-105.0838675,,,Aug. 2014–Dec. 2016,,,"Bachelor of Arts, Anthropology — Summa Cum Laude"
career,smc,Southwestern Michigan College,school,8,"Dowagiac, MI",41.94796,-86.07805,,,Aug. 2002–Apr. 2005,,,Associate of Arts
cartography,canyonlands-np,Canyonlands National Park,cartography,1,"Canyonlands National Park, UT",38.46,-109.8203,9.5,,,assets/cartography/thumbs/Canyonlands-National-Park-thumb.png,assets/cartography/Canyonlands%20National%20Park.png,'Here Comes the Sun' styled map
cartography,mt-tuk,Mt. Tukuhnikivatz,cartography,2,"La Sal Mountains, Southeastern UT",38.4394,-109.2814,11,,,assets/cartography/thumbs/Mt-Tuk-thumb.png,assets/cartography/Mt%20Tuk.png,'Sunrise' styled map with 'Paper Cut' inset
cartography,great-sand-dunes-np,Great Sand Dunes National Park & Preserve,cartography,3,"Great Sand Dunes National Park & Preserve, CO",37.7916,-105.5943,10,,,assets/cartography/thumbs/Great-Sand-Dunes-thumb.png,assets/cartography/Great%20Sand%20Dunes%20National%20Park%20&%20Preserve.png,"'Imhof' style, 3D perspective, national park map series"
cartography,black-canyon-gunnison,Black Canyon of the Gunnison National Park,cartography,4,"Black Canyon of the Gunnison National Park, CO",38.5754,-107.7416,10.5,,,assets/cartography/thumbs/Black-Canyon-Gunnison-thumb.png,assets/cartography/Black%20Canyon%20of%20the%20Gunnison%20National%20Park.png,"'Imhof' style, 3D perspective, national park map series"
cartography,devils-tower-nm,Devils Tower National Monument,cartography,5,"Devils Tower National Monument, WY",44.5902,-104.7145,12,,,assets/cartography/thumbs/Devils-Tower-NM-thumb.png,assets/cartography/Devils%20Tower%20National%20Monument.png,"'Imhof' style, 3D perspective, national park map series"
cartography,gtnp-3d,Grand Teton National Park (3D),cartography,6,"Grand Teton National Park, WY",43.7904,-110.6818,9.5,,,assets/cartography/thumbs/GTNP_3D-thumb.png,assets/cartography/GTNP_3D.png,3D perspective map
cartography,wyoming-map,Wyoming,cartography,7,"Statewide, WY",43,-107.55,6,,,assets/cartography/thumbs/WyomingMap-thumb.png,assets/cartography/WyomingMap.png,Physical geography map of the state of Wyoming
cartography,aztec-ruins-nm,Aztec Ruins National Monument,cartography,8,"Aztec Ruins National Monument, NM",36.8378,-107.9997,13,,,assets/cartography/thumbs/Aztec-Ruins-thumb.png,assets/cartography/Aztec%20Ruins%20National%20Monument.png,"'Imhof' style, 3D perspective, national park map series"
cartography,channel-islands-np,Channel Islands National Park,cartography,9,"Channel Islands National Park, CA",34.0069,-119.7785,8.5,,,assets/cartography/thumbs/ChannelIslandsNP-thumb.png,assets/cartography/ChannelIslandsNP.png,3D perspective map
cartography,st-joseph-county,St. Joseph County,cartography,10,"St. Joseph County, IN",41.6764,-86.252,9.5,,,assets/cartography/thumbs/StJosephCounty-thumb.png,assets/cartography/StJosephCounty_PaperCut.png,Surface topography shown using the 'Paper Cut' style
cartography,watercolor-map-layout,Great Lakes (Watercolor Style),cartography,11,Great Lakes region,44.5,-83.2,5.5,,,assets/cartography/thumbs/WatercolorMapLayout-thumb.png,assets/cartography/WatercolorMapLayout.png,'Watercolor' styled map showing the Great Lakes
cartography,ambient-illumination,Lake Michigan (Ambient Illumination),cartography,12,"Center of the Lower Peninsula, MI",44.3,-84.7,6.5,,,assets/cartography/thumbs/AmbientIllumintaion-thumb.png,assets/cartography/AmbientIllumintaion.png,Ambient illumination hillshade with various blend modes
cartography,log-sea-of-cortez,Log from the Sea of Cortez,cartography,13,Gulf of California / Sea of Cortez,27,-111,5,,,assets/cartography/thumbs/Log-Sea-of-Cortez-thumb.png,assets/cartography/Log%20from%20the%20Sea%20of%20Cortez.png,Route of the Western Flyer during the events of 'The Log from the Sea of Cortez' by John Steinbeck
watercolor,defiance-house,Defiance House,watercolor,1,"Defiance House ruin, Glen Canyon NRA, UT",37.397,-110.936,,,,img/watercolors/thumbs/Defiance-House-thumb.jpg,img/watercolors/Defiance%20House.jpg,
watercolor,buckhorn-angel,Buckhorn Angel,watercolor,2,"Buckhorn Wash Pictograph Site, San Rafael Swell, UT",39.1725,-110.6875,,,,img/watercolors/thumbs/Buckhorn-Angel-thumb.jpg,img/watercolors/Buckhorn%20Angel.jpg,
watercolor,ft-ruin-bottom,Ft. Ruin Bottom,watercolor,3,"San Rafael Swell area, UT",38.44868041,-110.0274207,,,,img/watercolors/thumbs/Ft-Ruin-Bottom-thumb.jpg,img/watercolors/Ft%20Ruin%20Bottom.jpg,
watercolor,dolores-river-canyon,Dolores River Canyon,watercolor,4,"Dolores River Canyon, CO",38.55958404,-108.917905,,,,img/watercolors/thumbs/Dolores-River-Canyon-thumb.jpg,img/watercolors/Dolores%20River%20Canyon.jpg,
